#time1 gdp2 growth3 demand4 wages5 price6 employed7 company_capital8 consumer_capital9 interest_rate10 investments11 market_capital12 bank_capital13 total_capital14
999 17476.3 0.00259415 1487.89 26786.2 6004.3 824 0 0 277.5 1.46205e+07 1.03714e+06 -4.08085e+08 -2.61058e+08
998 17431.1 0.00228648 1487.89 26508.8 5967.32 824 1.01057e+08 4.49326e+07 285 1.44827e+07 1.03189e+06 -4.04428e+08 -2.58714e+08
997 17391.3 0.00234165 1487.89 26456.7 5927.71 824 1.00012e+08 4.46694e+07 277.5 1.43391e+07 1.01701e+06 -4.009e+08 -2.56455e+08
996 17350.7 0.00240594 1487.89 26108.8 5889.65 824 9.92175e+07 4.42099e+07 285 1.42058e+07 1.01361e+06 -3.97308e+08 -2.54155e+08
995 17309 0.00238317 1487.89 25825.7 5850.72 824 9.82571e+07 4.38825e+07 277.5 1.40651e+07 1.00528e+06 -3.93842e+08 -2.51935e+08
994 17267.9 0.00240004 1487.89 25779.5 5813.12 824 9.73677e+07 4.35337e+07 285 1.39282e+07 995172 -3.90314e+08 -2.49677e+08
993 17226.5 0.00243439 1487.89 25422.1 5775.04 824 9.64318e+07 4.32099e+07 277.5 1.37908e+07 980552 -3.8691e+08 -2.47499e+08
992 17184.7 0.00258906 1487.89 25110.3 5738.55 824 9.57331e+07 4.26975e+07 285 1.36635e+07 975949 -3.83444e+08 -2.45279e+08
991 17140.3 0.00233168 1487.89 24903.6 5701.8 824 9.48643e+07 4.23244e+07 277.5 1.35304e+07 970674 -3.80098e+08 -2.43136e+08
990 17100.4 0.00245136 1487.89 24857.7 5665.18 824 9.40005e+07 4.1991e+07 285 1.33981e+07 960967 -3.76693e+08 -2.40956e+08
989 17058.6 0.00256045 1487.89 24809.4 5628.09 824 9.31872e+07 4.15889e+07 277.5 1.32654e+07 950110 -3.73406e+08 -2.3885e+08
988 17015 0.00240887 1487.89 24769.3 5593.52 824 9.24055e+07 4.12001e+07 285 1.31392e+07 939561 -3.7006e+08 -2.36707e+08
987 16974.2 0.00243057 1487.89 24721 5556.57 824 9.16087e+07 4.08047e+07 277.5 1.30135e+07 935542 -3.6683e+08 -2.34637e+08
986 16933 0.00243231 1487.89 24460.8 5521.63 824 9.08052e+07 4.04524e+07 285 1.28875e+07 923468 -3.63542e+08 -2.3253e+08
985 16891.9 0.00243373 1487.89 24412.8 5485.06 824 9.00037e+07 4.00848e+07 277.5 1.27637e+07 919319 -3.60369e+08 -2.30496e+08
984 16850.9 0.00236844 1487.89 24193.6 5450.58 824 8.90716e+07 3.98818e+07 285 1.26399e+07 906994 -3.57141e+08 -2.2843e+08
