bank_capital bank_loans bank_debts consumer_capital company_capital market_capital total_capital
0 0 0 0 226971 486996 -152659 561308
1 0 0 0 436841 255857 -131390 561308
2 29018.9 0 29611.1 428091 261751 -157553 561308
3 52701.7 27893.5 83235 397285 108810 2511.47 561308
4 45252 56998.1 106068 274185 99782.2 142089 561308
5 38829.5 78933.2 122406 252089 135674 134716 561308
6 37455.9 95178.3 138049 255622 148785 119444 561308
7 307785 109844 152714 254631 145746 124205 832367
8 585066 125175 165450 252201 143236 132343 1.11285e+06
9 843870 139247 177381 253928 147120 129408 1.37433e+06
10 1.114e+06 153947 188471 254952 145960 133603 1.64852e+06
11 1.41421e+06 168540 198704 255613 146378 137246 1.95344e+06
12 1.755e+06 183411 208133 257664 147827 139461 2.29995e+06
13 2.13541e+06 198684 216782 260663 149766 141327 2.68717e+06
14 2.57001e+06 214222 224658 264444 152367 142701 3.12953e+06
15 3.05888e+06 230776 231785 269848 156030 143069 3.62783e+06
16 3.60683e+06 248832 238177 277255 161435 141846 4.18737e+06
17 4.22172e+06 268524 243826 286526 168194 139711 4.81615e+06
18 4.91042e+06 292521 248722 298655 177042 137615 5.52374e+06
19 5.67485e+06 330808 252836 314396 189504 143274 6.32202e+06
20 5.62556e+06 383762 256120 335440 210235 150785 6.32202e+06
21 5.55108e+06 461037 258502 365883 240424 164641 6.32202e+06
22 5.435e+06 578769 259839 411450 288364 187211 6.32202e+06
23 5.24313e+06 770635 259839 482557 368096 228239 6.32202e+06
24 5.09152e+06 922248 259839 598438 510548 121518 6.32202e+06
25 4.93387e+06 1.0799e+06 259839 722414 571280 94463.9 6.32202e+06
26 4.77325e+06 1.24052e+06 259839 831790 628179 88803.5 6.32202e+06
27 4.61129e+06 1.40247e+06 259839 938291 686048 86390.7 6.32202e+06
28 4.44988e+06 1.56389e+06 259839 1.04504e+06 743492 83608.4 6.32202e+06
29 4.2911e+06 1.72267e+06 259839 1.15156e+06 798928 80442.2 6.32202e+06
30 4.13703e+06 1.87674e+06 259839 1.25646e+06 851320 77210.2 6.32202e+06
31 4.01415e+06 1.99962e+06 259839 1.31402e+06 919792 74065 6.32202e+06
32 3.90708e+06 2.10669e+06 259839 1.37429e+06 973390 67268.3 6.32202e+06
33 3.8028e+06 2.21097e+06 259839 1.42199e+06 1.0356e+06 61642.9 6.32202e+06
34 3.69573e+06 2.31803e+06 259839 1.4907e+06 1.07527e+06 60320.4 6.32202e+06
35 3.58955e+06 2.42422e+06 259839 1.55408e+06 1.12077e+06 57631.8 6.32202e+06
36 3.48571e+06 2.52805e+06 259839 1.59991e+06 1.17833e+06 58075.6 6.32202e+06
37 3.38022e+06 2.63355e+06 259839 1.66827e+06 1.21383e+06 59704.3 6.32202e+06
38 3.27749e+06 2.73628e+06 259839 1.71222e+06 1.27462e+06 57692.8 6.32202e+06
39 3.17618e+06 2.83759e+06 259839 1.75645e+06 1.32928e+06 60112.8 6.32202e+06
40 3.07625e+06 2.93752e+06 259839 1.79938e+06 1.38599e+06 60400.5 6.32202e+06
41 2.97775e+06 3.03602e+06 259839 1.84247e+06 1.44168e+06 60121.7 6.32202e+06
42 2.87339e+06 3.14037e+06 259839 1.92491e+06 1.4661e+06 57625.8 6.32202e+06
43 2.77351e+06 3.24026e+06 259839 1.97221e+06 1.52034e+06 55966.3 6.32202e+06
44 2.67526e+06 3.33851e+06 259839 2.01689e+06 1.57087e+06 59006.7 6.32202e+06
45 2.57856e+06 3.43521e+06 259839 2.06025e+06 1.62368e+06 59532.7 6.32202e+06
46 2.48345e+06 3.53032e+06 259839 2.10389e+06 1.67534e+06 59333.9 6.32202e+06
47 2.38996e+06 3.62381e+06 259839 2.14753e+06 1.72544e+06 59091.4 6.32202e+06
48 2.2981e+06 3.71567e+06 259839 2.19098e+06 1.77407e+06 58883 6.32202e+06
49 2.20687e+06 3.8069e+06 259839 2.23729e+06 1.81945e+06 58407.7 6.32202e+06
50 2.11781e+06 3.89595e+06 259839 2.28318e+06 1.86291e+06 58122.8 6.32202e+06
51 2.03045e+06 3.98332e+06 259839 2.32608e+06 1.9074e+06 58095.6 6.32202e+06
52 1.94475e+06 4.06902e+06 259839 2.36864e+06 1.95038e+06 58256.8 6.32202e+06
53 1.86056e+06 4.1532e+06 259839 2.41254e+06 1.99082e+06 58094.2 6.32202e+06
54 1.77454e+06 4.23923e+06 259839 2.47923e+06 2.01125e+06 57011.2 6.32202e+06
55 1.69131e+06 4.32246e+06 259839 2.52228e+06 2.05186e+06 56573.5 6.32202e+06
56 1.60969e+06 4.40407e+06 259839 2.56503e+06 2.08944e+06 57860.7 6.32202e+06
57 1.52968e+06 4.48409e+06 259839 2.6072e+06 2.12719e+06 57949.6 6.32202e+06
58 1.45125e+06 4.56252e+06 259839 2.64947e+06 2.16346e+06 57851.1 6.32202e+06
59 1.37438e+06 4.63939e+06 259839 2.69163e+06 2.19825e+06 57760.9 6.32202e+06
60 1.29905e+06 4.71471e+06 259839 2.73364e+06 2.23165e+06 57685.9 6.32202e+06
61 1.22525e+06 4.78852e+06 259839 2.77548e+06 2.26368e+06 57620.8 6.32202e+06
62 1.15293e+06 4.86084e+06 259839 2.81716e+06 2.29437e+06 57563.3 6.32202e+06
