#time1 gdp2 growth3 demand4 wages5 price6 employed7 company_capital8 consumer_capital9 interest_rate10 investments11 market_capital12 bank_capital13 total_capital14
499 567721 -1.10902e-05 1.33226e+09 35.1825 0.54605 3858 2.47033e-321 2.47033e-321 0.0266539 440.117 14852 1.01417e+06 1.46726e+06
498 567728 0.000279281 1.33329e+09 35.1534 0.546909 3858 438229 0 0.07671 440.809 14804.5 1.01106e+06 1.46726e+06
497 567569 7.74443e-05 1.34291e+09 35.2804 0.550161 3858 441393 0 0.02671 443.43 14958.2 1.01056e+06 1.46726e+06
496 567525 0.000205366 1.34395e+09 35.5405 0.551078 3858 441733 0 0.076768 444.169 14912.8 1.00743e+06 1.46726e+06
495 567409 0.000188751 1.35363e+09 35.5466 0.554337 3858 444918 0 0.026768 446.796 15065.3 1.00693e+06 1.46726e+06
494 567302 0.000220188 1.35467e+09 35.6284 0.555295 3858 445263 0 0.0768279 447.568 15020.9 1.00376e+06 1.46726e+06
493 567177 -0.00010447 1.36445e+09 35.8368 0.55855 3858 448471 0 0.0268279 450.191 15179.1 1.00326e+06 1.46726e+06
492 567236 0.000525429 1.36549e+09 36.0014 0.559409 3858 448814 0 0.0768875 450.884 15125.6 1.00007e+06 1.46726e+06
491 566938 -2.80483e-05 1.37533e+09 36.025 0.562829 3858 452055 0 0.0268875 453.641 15287.3 999570 1.46726e+06
490 566954 0.000271344 1.37639e+09 36.2367 0.563709 3858 452399 0 0.0769477 454.349 15238.5 996358 1.46726e+06
489 566800 0.000172036 1.38629e+09 36.2832 0.567054 3858 455659 0 0.0269477 457.046 15394.1 995849 1.46726e+06
488 566703 0.000206459 1.38736e+09 36.4208 0.568038 3858 456013 0 0.0770083 457.839 15349.4 992613 1.46726e+06
487 566586 -3.79106e-05 1.39734e+09 36.7709 0.571355 3858 459293 0 0.0270083 460.512 15510.7 992101 1.46726e+06
486 566607 0.000146989 1.39844e+09 36.5289 0.572225 3858 459645 0 0.0770704 461.214 15463.2 988841 1.46726e+06
485 566524 0.000461005 1.40848e+09 36.9255 0.575589 3858 462952 0 0.0270704 463.925 15614.7 988324 1.46726e+06
484 566263 0.0002231 1.40958e+09 36.9039 0.576736 3858 463318 0 0.0771351 464.849 15572.9 985039 1.46726e+06
483 566137 0.000232281 1.4197e+09 37.0762 0.58013 3858 466644 0 0.0271351 467.585 15730.3 984519 1.46726e+06
482 566005 0.000231649 1.4208e+09 37.1824 0.581159 3858 467007 0 0.0772002 468.414 15684.7 981210 1.46726e+06
481 565874 7.16664e-05 1.43101e+09 37.4673 0.584567 3858 470361 0 0.0272002 471.161 15846.3 980685 1.46726e+06
480 565833 0.000246893 1.43212e+09 37.5122 0.58553 3858 470725 0 0.0772638 471.937 15797.5 977352 1.46726e+06
479 565694 0.000286725 1.44238e+09 37.6262 0.588992 3858 474107 0 0.0272638 474.727 15956.1 976823 1.46726e+06
