#time1 gdp2 growth3 demand4 wages5 price6 employed7 company_capital8 consumer_capital9 interest_rate10 investments11 market_capital12 bank_capital13 total_capital14
399 51325 0.025956 1485 72.6204 6.07842 701 0 0 367.5 141518 5920.1 228902 876013
398 50026.5 0.0440844 1485 73.7263 6.41535 703 572227 68964.2 360 132926 -3452.95 234758 870117
397 47914.2 0.0621444 1485 74.849 6.68773 708 568981 69831.3 367.5 137660 3173.84 224836 864589
396 45110.9 0.0360884 1485 75.9888 6.92721 725 564426 72152.6 375 135752 6076.41 222447 859002
395 43539.6 0.0513574 1485 77.146 7.36185 730 560510 69968.1 367.5 130651 -17.1542 225460 853221
394 41412.7 0.0468646 1485 78.3209 7.70056 740 558758 69019.8 375 131988 3183.54 215574 847806
393 39558.8 0.0369092 1485 79.5136 8.19463 746 554675 74373.4 367.5 130098 3187.01 214633 842303
392 38150.7 0.00752997 1485 80.7244 8.64446 746 553266 71216.5 345 128318 3257.19 204860 837158
391 37865.6 0.0692048 1485 81.9537 8.87577 687 549926 79115.4 330 126648 3333.65 195502 832556
390 35414.7 0.0172273 1485 83.2018 8.01299 683 535998 97722.1 337.5 125051 5468.89 186825 828353
389 34815 0.0611791 1485 84.4688 8.35398 688 513636 122423 330 118209 -2382.08 249244 822616
388 32807.8 0.0191896 1485 85.7551 8.54508 695 511043 64710.9 337.5 121938 5439.73 241131 817192
387 32190.1 0.067338 1485 87.061 8.91735 692 504800 65821.4 330 116050 -1501.21 247509 811494
386 30159.2 0.019437 1485 88.3868 9.0546 695 501660 63826.9 337.5 118905 5229.13 239547 806106
385 29584.2 0.0598984 1485 89.7328 9.45269 697 494592 66738 330 111494 -3139.44 250055 800350
384 27912.3 0.0262933 1485 91.0993 9.80847 701 491928 61506.9 337.5 115956 5298.65 242254 794901
383 27197.2 0.0417888 1485 92.4866 10.2908 705 487902 59446.3 330 110698 -1034.6 242541 789318
382 26106.2 0.0279548 1485 93.895 10.6824 710 486307 61504.8 337.5 113095 2777.52 234840 784035
381 25396.3 0.0524854 1485 95.3249 11.1206 710 482908 63510.2 322.5 111662 2780.28 232651 778680
380 24129.8 0.0266215 1485 96.7766 11.1838 719 480547 62702.5 330 110339 5086.7 225151 773733
379 23504.1 0.0542268 1485 98.2503 11.716 720 473963 69532.2 322.5 106463 200.118 235203 768442
378 22295.1 0.0316417 1485 99.7465 12.0535 723 472835 60204 330 107686 4993.38 227892 763435
377 21611.3 0.0409936 1485 101.265 12.6778 731 468613 61937 322.5 103920 254.916 230078 758259
